5141.EFNCRP00000007282	GO:0004476,GO:0031505
3702.AT5G10220.1	GO:0009408,GO:0009409,GO:0009414,GO:0009639,GO:0009651
5141.EFNCRP00000007280	GO:0001077,GO:0030907,GO:0071931
3702.AT5G60300.3	GO:0002229,GO:0048041
9606.ENSP00000287020	GO:0010862,GO:0030509,GO:0032924,GO:0045893,GO:0060389
9606.ENSP00000287022	GO:0005746,GO:0006119,GO:0009060,GO:0022904,GO:0044281
9606.ENSP00000287025	GO:0005739,GO:0044212,GO:0045892
10090.ENSMUSP00000029135	GO:0003987,GO:0005737,GO:0006085
4932.YLR102C	GO:0005680,GO:0016567,GO:0031497
10116.ENSRNOP00000008503	GO:0005634
4896.SPBC1709.01.1	GO:0000915,GO:0000935,GO:0005887,GO:0032153,GO:0070938
9606.ENSP00000222145	GO:0010507
9615.ENSCAFP00000012270	GO:0005178,GO:0005615,GO:0007267,GO:0031012,GO:0033630,GO:1902230
9031.ENSGALP00000035634	GO:0000724,GO:0005654
316385.ECDH10B_2672	GO:0006974
316385.ECDH10B_2673	GO:0003921,GO:0003922,GO:0005829
9606.ENSP00000319062	GO:0045599,GO:0051131
316385.ECDH10B_2676	GO:0006928
316385.ECDH10B_2677	GO:0000027,GO:0003924,GO:0005829,GO:0043022
316385.ECDH10B_2674	GO:0003938,GO:0005829,GO:0042802
10116.ENSRNOP00000023301	GO:0000146,GO:0005524,GO:0005739,GO:0005859,GO:0006936,GO:0009408,GO:0030016,GO:0030899,GO:0042803,GO:0046982
3702.AT2G44680.1	GO:0004674,GO:0005634,GO:0005737,GO:0007623,GO:0042753,GO:0048573
316385.ECDH10B_2678	GO:0009279,GO:0043165,GO:0051205
316385.ECDH10B_2679	GO:0043234,GO:0071575
10090.ENSMUSP00000051151	GO:0004308,GO:0005739
4932.YFL026W	GO:0000750,GO:0000755,GO:0004934,GO:0005887,GO:0030031,GO:0051260
